,Country,Year,Medal,Count
867,FRA,2008,Gold,25
868,FRA,2008,Silver,23
869,FRA,2012,Bronze,22
870,FRA,2012,Gold,30
871,FRA,2012,Silver,30
872,FRG,1968,Bronze,18
873,FRG,1968,Gold,16
874,FRG,1968,Silver,15
875,FRG,1972,Bronze,36
876,FRG,1972,Gold,43
877,FRG,1972,Silver,17
878,FRG,1976,Bronze,30
879,FRG,1976,Gold,21
880,FRG,1976,Silver,24
881,FRG,1984,Bronze,52
882,FRG,1984,Gold,31
883,FRG,1984,Silver,74
884,FRG,1988,Bronze,44
885,FRG,1988,Gold,32
886,FRG,1988,Silver,37
887,GAB,2012,Silver,1
888,GBR,1896,Bronze,2
889,GBR,1896,Gold,2
890,GBR,1896,Silver,3
891,GBR,1900,Bronze,10
892,GBR,1900,Gold,48
893,GBR,1900,Silver,20
894,GBR,1904,Gold,1
895,GBR,1904,Silver,1
896,GBR,1908,Bronze,68
897,GBR,1908,Gold,144
898,GBR,1908,Silver,135
899,GBR,1912,Bronze,58
900,GBR,1912,Gold,44
901,GBR,1912,Silver,58
902,GBR,1920,Bronze,17
903,GBR,1920,Gold,55
904,GBR,1920,Silver,35
905,GBR,1924,Bronze,20
906,GBR,1924,Gold,17
907,GBR,1924,Silver,29
908,GBR,1928,Bronze,24
